img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1365653236426936321.jpg,i am a criminal i don't buy at stupid stores,There are no people in the image.,i am a criminal i don't buy guns at st,gun_control
1324087921641721856.jpg,Congratulations Michele Beckley Texas 6th District,There are two people in the image.,michelle beckley has been elected to the texas house district,gun_control
1315655571949973507.jpg,we must supreme court from the second gun control laws,There are no people in the image.,an ad for gun control in iowa,gun_control
1374043991847616512.jpg,Lover Boy,There are no people in the image.,an image of a gun with the words lover boy on it,gun_control
1349294240283521024.jpg,we don't just have to take your side,There are four people in the image.,"obama, barack obama, and john f kennedy are shown in a collage",gun_control
1374451383152218121.jpg,says on tuesday identified the death,There are two people in the image.,a photo of a man with a gun on his phone,gun_control
1375605998854021129.jpg,gun deaths and gun rearmament by country,There are 0 people in the image.,gun deaths and gun rearmament by country,gun_control
1372686195428356096.jpg,Realize Violence Against Women Act,There are no people in the image.,A purple background with the words'realize violence against women act' on it.,gun_control
1375829438575779843.jpg,thory opinion proposal you can only purchase a gun once tuesday in november,There are no people in the image.,a tweet that says you can only purchase a gun once every two weeks in november,gun_control
1362822094539677697.jpg,tell south carolina lammakers oppose open carry gun legislation text sc 64-643,There are no people in the image.,a sign that reads tell south carolina lammaker's oppose open carry gun legislation,gun_control
1374419159245746184.jpg,let's do some math ccc,There are no people in the image.,a sign that says let's do some math ccc using numbers,gun_control
1327673361032486915.jpg,enough end gun violence anti-gun activists use firearm to kill children then they themselves,There are three people in the image.,"An anti-gun violence campaign with the slogan ""Enough is Enough"" and a photo of a woman holding a gun is featured in the image. The campaign encourages people to stop using guns to kill their children, as well as themselves.",gun_control
1363201762409127936.jpg,guns don't make us unsafe a government that bans them,There are two people in the image.,two women standing next to a sign that says guns don't make us unsafe a government that bans them,gun_control
1364633201117782016.jpg,joe biden,There is one person in the image.,joe biden is giving a speech in front of an american flag,gun_control
1375492753765720065.jpg,Weapons Police Investigation,There are no people in the image.,a black and white poster with the words weapons police investigation arrest,gun_control
1366736556468301828.jpg,Free t shirt for 2nd amendment supporters,There are four people in the image.,free t shirt for 2nd amendment supporters,gun_control
1338480591612866561.jpg,The text on the image says sandy hook 12/14/12.,There are no people in the image.,"The image features a green ribbon with the words ""Sandy Hook"" written on it.",gun_control
1374843721284456453.jpg,Enforce Policies,There are no people in the image.,"The cover of a book entitled Enforce Policies features a heart-shaped paper cutout with the words ""Enforce Policies"" written on it.",gun_control
1357705534963613701.jpg,"a well regulated militia, being a security of the free state the arms shall not be infringed",There are no people in the image.,"a well regulated militia, being necessary security of the free state, the arms shall not be infringed",gun_control
1324011733854412802.jpg,gin safe practices victory rep cynthia anne ao,There are two people in the image.,an image of a woman with the word victory on it,gun_control
1323425713974697984.jpg,us youth killed or injured by guns,There are 0 people in the image.,a graph showing the number of us youth killed or injured by guns,gun_control
1372362130989715457.jpg,people holding signs,There are five people in the image.,"The image shows a group of people standing in front of a building and holding signs. There are several people present in the image, some of whom are wearing winter coats. Some of the people appear to be holding placards, while others are holding signs. It is likely that these people are part of a protest or demonstration, which is taking place outside of the building.",gun_control
1348813350709424129.jpg,"The text on the image reads god guns, country.",There are no people in the image.,"Several wooden signs with the words ""God Guns Country"" and ""God Guns Country"" are displayed on a table.",gun_control
1368911467391631361.jpg,Close the loop holes support hr 8 require background check for every sale,There are no people in the image.,close the loop holes support hr 8 require background check for every sale,gun_control
1365488332554313730.jpg,efsgv the educational fund to stop gun violence,There are no people in the image.,a blue background with the text efsgv the educational fund to stop gun violence,gun_control
1367993482028138497.jpg,"common sense gun rights if you may own it, you may carry",There are no people in the image.,"a poster that says common sense gun rights if you may own it, you may carry it",gun_control
1364669182806286338.jpg,gun control is a threat,There are no people in the image.,gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is a threat | gun control is,gun_control
1348874060625637376.jpg,we need to have a debate on gun control,There are two people in the image.,"a picture of nancy pelosi with the caption we need to have a debate on gun control, we settled that debate in 1777",gun_control
1372171985728503810.jpg,it's the gun every civilized nation on earth doesn't allow citizens easy guns access,There are no people in the image.,a purple background with a quote that says it's the gun every civilized nation on earth doesn't allow citizens easy access to guns,gun_control
1328139923149512704.jpg,"since the introduction of the eps in 1992, 4000 firearm sales to domestic households have been blocked",There are no people in the image.,"since the introduction of the eps in 1992, 4000 firearm sales to domestic abusers have been blocked",gun_control
1331327509259022336.jpg,Laws Targeting Specific Weapons and Ammunition,There are no people in the image.,Laws Targeting Specific Weapons and Ammunition,gun_control
1357753494430642176.jpg,holster,There are no people in the image.,"The image shows a man wearing a belt holster with a gun in it. The belt holster can be used to conceal a firearm, such as a handgun or a shotgun, so that the wearer does not have to open their pants to access the firearm. The belt holster can also be used to store other items, such as keys, wallets, or other small items. The belt holster can be used to carry a concealed weapon, such as a handgun or a shotgun, so that the wearer does not have to open their pants to access the firearm. The belt holster can also be used to store other items, such as keys, wallets, or other small items, so that the wearer does not have to open their pants to access them.",gun_control
1375909422376042497.jpg,be a part of the solution,There are seven people in the image.,"The image features a group of people wearing face masks and holding signs in support of the LGBTQ community. They are standing in front of a building with a sign that reads, ""Let's Make America Great Again,"" which is a reference to the March for Our Lives rally in Washington, D.C., which took place earlier this month.",gun_control
1371457987420770305.jpg,The text on the image says we like people.,There are two people in the image.,"The image shows a man with a tattoo of the words ""We the People"" on his left arm. He is holding an orange holster with the words ""we the people"" written on it. The holster may be used to carry a firearm or other weapon.",gun_control
1339461272690192384.jpg,ok,There is one person in the image.,"The man in the image is making a hand gesture while sitting in a bleacher seat at a race track. He is wearing a pair of sunglasses and a hat, suggesting that he is enjoying his time at the race track. There are several trash cans around the bleachers, suggesting that the man is taking care of his belongings during the race.",gun_control
1364943179544420357.jpg,"The text on the image reads, 'Which good time were we wearing music?'",There are two people in the image.,a cartoon of two people with guns in front of them,gun_control
1374533451462873090.jpg,when all the guns have been taken all the words have been censored,There are no people in the image.,a quote that says when all the guns have been banned when all the words have been censored,gun_control
1329652688607342593.jpg,joe biden's policy could gun owners $200 for every high-capacity magazine own,There are two people in the image.,"joe biden's policy could cost gun owners $2,000 for every high-capacity gun",gun_control
1335834250411577344.jpg,Gunsense pro-rape pro-hate kills,There are two people in the image.,a poster with the words gun sense pro-rape pro-hate kills,gun_control
1372948481149530116.jpg,stop the senate deathwatch,There are no people in the image.,a poster that says stop the senate deathwatch,gun_control
1322301402660655105.jpg,nyagv,There are no people in the image.,nyagv logo with the words new yorkers against gun violence,gun_control
1329470120620658689.jpg,uber took shots in chicago,There are no people in the image.,a screenshot of a text message from a person in chicago,gun_control
1372320536274071553.jpg,women's suffrage,There are ten people in the image.,"The image shows a group of women on a video call, each wearing a red shirt and a face mask. They are all sitting in front of a white background with a screen showing the time, date, and location of the meeting.",gun_control
1357910198338400259.jpg,The text on the image reads pastor parama.,There are no people in the image.,a painting of a clock with a bee on it is displayed on a twitter page,gun_control
1364508458234634241.jpg,as sure you know as the president is a strong supporter of gun control,There are no people in the image.,an old man with glasses and a quote from the president of the united states,gun_control
1372308222762131459.jpg,We need common sense gun control now,There are no people in the image.,a poster that says we need common sense gun control now,gun_control
1323657893397303296.jpg,stand up,There is one person in the image.,"The woman in the image is wearing sunglasses and a turban as she sits in a car. Her hair is pulled back in a ponytail, suggesting that she is wearing a head scarf or a turban. She may be driving to work or taking a trip, possibly on a business trip.",gun_control
1341095348903813128.jpg,reasons why people own guns,There are 0 people in the image.,a pie chart with the words reasons why people own guns no one's business,gun_control
1362379697762365440.jpg,crack down on criminals use illegal guns take legally guns away from honest owners,There are two people in the image.,crack down on smugglers who use illegal guns take legally owned guns from honest owners,gun_control
1356360100559122432.jpg,christian heart,There are ten people in the image.,"The image depicts a group of people on a video call, all wearing red shirts and glasses. They are sitting in front of a large screen with a red background, indicating that they are participating in a video call. There is also a red banner at the top of the screen, indicating that they are part of a campaign or event.",gun_control
1368922570918092800.jpg,mark herring endorsed by lor,There are two people in the image.,two people with the words mark herring endorsed by lor haas,gun_control
1375105339570466818.jpg,you're afraid we will take away your guns,There are three people in the image.,a poster that says you're afraid we will take away your guns,gun_control
1345057612115681286.jpg,The text on the image reads mark forged.,There are no people in the image.,"The image features a firearm on display in a display case, with an American flag on top of it. The firearm appears to be manufactured by Mark Forged, a company that produces high-quality firearms and accessories.",gun_control
1361064792463663104.jpg,msd strong,There are 13 people in the image.,a poster with the words msd strong on it,gun_control
1364645050144202757.jpg,joe biden,There is one person in the image.,a close up of joe biden's face,gun_control
1372921106793914368.jpg,bill clinton,There are two people in the image.,"The image depicts two men sitting at a table and signing a document. One of the men is wearing a suit, while the other man is wearing a suit and tie. Both men are wearing suits, which suggests that they are part of a formal event or ceremony.",gun_control
1349104224718749707.jpg,once trump gone and we have regained our right place in the white house,There are no people in the image.,once trump gone and we have reclaimed the right place in the country,gun_control
1374048705624608774.jpg,during recent raid in north carolina authorities discovered a real gun disguise,There are no people in the image.,"During a recent raid in north carolina, authorities discovered a real nerf gun disguised as a toy",gun_control
1350783625202200577.jpg,flintlock,There are no people in the image.,An antique flintlock rifle is displayed on a white background. The rifle has a wooden barrel and a wooden handle.,gun_control
1338535655534710787.jpg,David Barnett,There is one person in the image.,The image features a man wearing glasses and sitting in front of a bookcase. He is looking at the camera and speaking into the microphone.,gun_control
1370089121692127241.jpg,House passes gun control bill expanding checks private checks,There are no people in the image.,house passes gun control bill expanding checks on private transfers,gun_control
1375556201363177483.jpg,know if 5 and 6 year old kids can cop with active shooter drills with their own checks and waiting,There are four people in the image.,"a picture of a child on the floor with a caption that says know, if and 5 year old kids cop with active shooter drills their owners check",gun_control
1348677853194321921.jpg,lauren bobert,There are two people in the image.,a screenshot of a news article about guns giving women an advantage against attackers,gun_control
1371802735780233217.jpg,the problem is not guns it's homes without god discipline prayer schools without justice,There are no people in the image.,"the problem is not guns it's hearts without god, homes without discipline, schools without justice",gun_control
1356666453387173891.jpg,samuel obama,There is one person in the image.,The image shows a man in a suit and tie sitting at a table. He is wearing glasses and is looking at the camera.,gun_control
1315322473005625345.jpg,"The text on the image reads ""No Firearms Prohibited"".",There are no people in the image.,"The image shows a sign that prohibits the possession of firearms, such as a gun or a handgun. The sign is placed on a glass door in a public place, such as a school, library, or office building.",gun_control
1323832745584447488.jpg,Congratulations Anthony Brown,There are two people in the image.,anthony brown has been elected to the maryland & tc congressional district,gun_control
1330156846125096962.jpg,just my 2 cents,There is one person in the image.,the just my 2 cents logo features a man sitting at a desk with glasses and a sign that reads just my 2 cents,gun_control
1323834754647629824.jpg,congratulations jennifer wexford virginia top congressional district,There are two people in the image.,congratulations to jennifer wexford of virginia's 2nd congressional district,gun_control
1368186928500244483.jpg,Free t shirt for 2nd amendment supporters,There are four people in the image.,free t shirt for 2nd amendment supporters,gun_control
1375456161311375365.jpg,We honor with action,There are two people in the image.,a poster featuring a young girl with a bandana and the text we honor with action.,gun_control
1351271805856583680.jpg,nephrotoxic effects of adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue derived from adipose tissue,There are six people in the image.,a series of graphs showing the results of the study,gun_control
1325040316773228545.jpg,a man is holding a gun in a gun shop,There are no people in the image.,A man in a white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at a target on the wall behind him.,gun_control
1338666593296015363.jpg,children,There are many people in the image.,a collage of children with different facial expressions and hairstyles,gun_control
1361091116863533058.jpg,nra bloodsucker,There are several people in the image.,a group of protesters holding signs in front of the capitol building,gun_control
1375607639623671811.jpg,ar - 15,There are no people in the image.,"The image shows an AR-15 rifle laying on a carpet, with a scope attached to it. The rifle is likely to be used for hunting or target practice, as it has a long barrel and a high rate of fire. The scope is likely to be used to help the shooter see in low-light conditions, such as at night or in low-light conditions. The rifle may also be used for target practice, as it has a longer barrel and a higher rate of fire. The rifle may also be used for target practice, as it has a longer barrel and a higher rate of fire. The rifle may also be used for target practice, as it has a longer barrel and a higher rate of fire. The rifle may also be used for target practice, as it has a longer barrel and a higher rate of fire. The rifle may also be used for target practice, as it has a longer barrel and a higher rate of fire. The rifle may also be used for target practice, as it has a longer barrel and a higher rate of fire. The rifle may also be used for target practice, as it has a longer barrel and a higher rate of fire.",gun_control
1362604404377985026.jpg,with sly approach from our welsh weblog with commissioner gang and violence to women,There are two people in the image.,two police officers are standing next to each other on a social media page,gun_control
1336852389043777538.jpg,"The text on the image reads ""nothing""",There are no people in the image.,"An image of a warehouse with a large number of firearms, ammunition, and other items on crates or pallets. These items are likely to be used for illegal activities, such as smuggling or drug trafficking.",gun_control
1323975329061478402.jpg,congratulations jim langevin phone and congressional district,There is one person in the image.,jim langevin has been elected to the illinois house of representatives and the illinois senate,gun_control
1323841775660945408.jpg,gun sense champion sharon davis was elected to the u s house,There are two people in the image.,gun sense champion sharon davis has been elected to the u s house,gun_control
1369121638789373952.jpg,Close the loop holes support hr 8 require background check for every gun sale,There are no people in the image.,close the loop holes support hr 8 require background check for every sale,gun_control
1375554556185210882.jpg,nyc queens,There are a large number of people in the image.,a group of women wearing red shirts and holding signs on stage,gun_control
1351204775216500745.jpg,Demonstrator Ohio,There are several people in the image.,The image shows a man with a rifle in front of a crowd of people.,gun_control
1356947408714797058.jpg,nothing,There are ten people in the image.,"The image features a group of men standing on the steps of a building, with several of them holding guns or other weapons. The image is a black-and-white photo from the 1940s, likely taken during a protest or demonstration. The men are wearing military uniforms and carrying firearms, suggesting that they may have been involved in a protest or demonstration.",gun_control
1375129657306193928.jpg,The text on the image reads 'blind'.,There is one person in the image.,a person walking with a cane and a gun on a black background,gun_control
1328129925728100356.jpg,since the introduction of the fbs nearly 4000 firearm sales to domestic abusers have been blocked,There are no people in the image.,since the introduction of the fbs nearly 4000 firearm sales to domestic abusers have been blocked,gun_control
1315655519667916801.jpg,1797 we must supreme the court from the gun-advocacy laws,There are no people in the image.,a poster with the text '1997 must supreme court declare gun laws unconstitutional',gun_control
1361375774985629702.jpg,don't forget heller,There are no people in the image.,a newspaper article with the headline don't forget heller,gun_control
1374402763107438592.jpg,ted lei,There are 2 people in the image.,ted lei tweets out his heart goes out to the mass of victims of the shooting in boston,gun_control
1375417251231277059.jpg,two people shooting,There are two people in the image.,The image shows a man and woman practicing their shooting skills at a range. The man is wearing an earplug and the woman is wearing a pair of headphones.,gun_control
1374423302035304450.jpg,if you look at this list and each percentage point where gun availability fell into the point,There are no people in the image.,if you look at this list and give each percentage point where gun availability into the point where gun availability,gun_control
1372925432870404098.jpg,gun control,There are two people in the image.,"The image depicts a woman covering her face with her hands in front of a colorful background with the words ""gun control"" written on it.",gun_control
1333091373311008768.jpg,Gun laws save lives,There is one person in the image.,a man wearing a shirt that says gun laws save lives is smiling in front of a white background.,gun_control
1361457785473499140.jpg,gun,There is one person in the image.,"The image shows a person holding a gun in his or her hand. The person is pointing the gun towards the camera, indicating that the person is ready to fire the weapon. The gun may be a handgun, a pistol, or a shotgun, depending on the context of the image.",gun_control
1365003891889364997.jpg,biden,There is one person in the image.,joe biden speaks at a podium in front of the white house,gun_control
1363223157629460485.jpg,What part of l shall not be infringed don't you understand?,There are no people in the image.,what part of i shall not be infringed don't you understand patch,gun_control
1358577345750306821.jpg,naomi obama,There is one person in the image.,an african-american woman is sitting in front of a microphone,gun_control
1338863040393965570.jpg,Lil Wayne's folly should not have stripped him of his 2nd amendment right,There are two people in the image.,lil wayne's felon should not have stripped him of his 2nd amendment right,gun_control
1375259256157519874.jpg,map of california,There are a lot of people in the image.,a map of the united states with red dots on it,gun_control
1340494892624211970.jpg,good george washington bumper sticker,1,a bumper sticker with a quote from george washington,gun_control
1370067414755418114.jpg,alert hr 144 extended just periods passed house of representatives,There are no people in the image.,alert gun passes house hr 144 extended waiting periods passed house of representatives,gun_control
1364616947258818561.jpg,i will not be silenced,There are a large number of people in the image.,a group of men with guns holding signs in front of a building,gun_control
1316481409234735109.jpg,save the vote,There are a large number of people in the image.,"The image features a group of people posing for a photo in a room with red shirts. There is a large group of people in the room, and some of them are wearing red shirts as well. Some of the people are waving their hands in the air, indicating that they are excited about the upcoming election.",gun_control
1367881278297694209.jpg,black and white image of a woman holding a gun,There is one person in the image.,"The image features a silhouette of a woman holding a gun in the dark, indicating that she is aiming her weapon at someone or something. This can be a sign of a dangerous situation, such as an active shooter situation or a crime scene.",gun_control
1339964368776261633.jpg,79% percent agree gun safety,There are no people in the image.,"The image depicts an infographic that shows the percentage of people who agree with gun safety and the percentage of people who do not agree with gun safety. According to the infographic, 55% of people agree with gun safety, while only 45% of people agree with gun safety. The percentage of people who do not agree with gun safety is significantly higher than the percentage of people who do agree with gun safety. The percentage of people who do not agree with gun safety is significantly higher than the percentage of people who do agree with gun safety. The percentage of people who do not agree with gun safety is significantly higher than the percentage of people who do agree with gun safety. The percentage of people who do not agree with gun safety is significantly higher than the percentage of people who do agree with gun safety. The percentage of people who do not agree with gun safety is significantly higher than the percentage of people who do agree with gun safety. The percentage of people who do not agree with gun safety is significantly higher than the percentage of people who do agree with gun safety. The percentage of people who do not agree with gun safety is significantly higher than the percentage of people who do agree with gun safety. The percentage of people who do not agree with gun safety is significantly higher than the",gun_control
1330948094456840192.jpg,osd 9 gotta be friendly to make friends,There are no people in the image.,osd 9 gotta be friendly to make friends,gun_control
1374566374954110980.jpg,giffords,There are three people in the image.,The image features a woman wearing glasses and a red coat. She is standing in front of a group of people and is looking away from the camera.,gun_control
1326903420964450309.jpg,joe introduced the gun-free school zones act of 1990,There are 2 people in the image.,a tweet that says joe biden introduced the gun-free school zones act of 1990,gun_control
1361009698179330057.jpg,Black Gun Safety Matters,There are no people in the image.,"The poster features a black fist with the words ""black gun safety matters"" written on it.",gun_control
1369654573447712768.jpg,nothing,There is one person in the image.,"The image shows a woman sitting at a desk with a laptop computer in front of her. The woman is wearing a blue scarf and has her hands on her hips, suggesting that she is focused on her work. There is also a book on the table, which could be related to her work.",gun_control
1349005962733084678.jpg,The image shows a group of men with guns posing in a hallway.,There are six people in the image.,A group of men with guns and masks posing in a hallway,gun_control
1324088219315654656.jpg,Congratulations Viki Goodwin's 4th House District,There are two people in the image.,a woman in purple with the words congratulations vikki goodwin texas 4th house district,gun_control
1369027178701197314.jpg,x,There are several people in the image.,"The image shows a computer screen with a group of people on a video conference call. There is a large number of people on the screen, and some of them are holding up their phones.",gun_control
1319519212054851586.jpg,Biden harris kick 2020 in the ball,There are two people in the image.,"A woman is sitting on a bench wearing a mask with the words ""Biden 2020 Balloon"" written on it.",gun_control
1334164709650493441.jpg,nothing,There is one person in the image.,"The image depicts a man wearing a face mask and holding a gun in front of a brick wall. He is aiming the gun with his right hand, indicating that he is aiming for a specific target, such as a brick wall or a tree. The man may be practicing shooting or engaging in some other activity, such as playing a game or engaging in a sport.",gun_control
1374395458852847630.jpg,lords live things that could be getting a bit,There are two people in the image.,a cartoon depicting an elderly woman sitting in front of a television with a newspaper in her hand.,gun_control
1329455891163324422.jpg,gun sense champion antonio delgado elected to the u s house,There are no people in the image.,gun sense champion antonio delgado has been elected to the u s house,gun_control
1349047276086435842.jpg,flint,There are no people in the image.,"The image features a black handgun, a bullet case, and a red cloth. The handgun is placed on top of the bullet case, indicating that it is ready for use. The bullet case may be used to store ammunition for the handgun, or it may be used to store ammunition for other firearms.",gun_control
1344337555530006530.jpg,nothing,There are no people in the image.,"The image shows a towel wrapped in a pink towel sitting on the floor of a bathroom. Two bottles of water are placed inside the towel, which may be used to cool down the room or provide a cooling effect. There is also a small fan located near the towel, which may be used to circulate air around the room.",gun_control
1357140892658798592.jpg,a woman with a gun in front of an american flag,There is one person in the image.,The image shows a woman holding an AR-15 rifle in front of an American flag. She is wearing a black outfit and has tattoos on her arms.,gun_control
1349103996607340546.jpg,Dino Crisis,There are no people in the image.,the cover of dino crisis for playstation,gun_control
1371603679241924612.jpg,Gunsense Pro-Rape-Hate Kills,There are no people in the image.,a book cover with the title gun sense pro-rape hate kills,gun_control
1340759489968918529.jpg,Preparing my goodbye message from clint eastwood,There are two people in the image.,"preparing my goodbye message from clint eastwood person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person,",gun_control
1356036744538427396.jpg,"you don't 30 rounds to hunt correct, the 2nd amendment was not turned against us",There are no people in the image.,"a rifle with the words you don't 30 rounds to hunt correct, but the 2nd amendment was written to turn against us",gun_control
1335594328492658691.jpg,the battle of philadelphia,There are several people in the image.,a painting depicting a group of men with guns on a hill,gun_control
1367584679751163905.jpg,well-recognized milita,There are two people in the image.,a tweet about a shooting at a school,gun_control
1363128711239897093.jpg,all gun laws are infringments,There are no people in the image.,a poster that says all gun laws are infringments,gun_control
1339326387556151315.jpg,"What part of unionism do you not support, liberal?",There are no people in the image.,a man holding a gun with the words liberal?,gun_control
1374551821012770816.jpg,nra,There is one person in the image.,"The image features a blonde woman wearing an nra hat, sunglasses, and a pair of red, white, and blue lipstick. She is wearing a pair of red, white, and blue sunglasses, as well as a pair of red, white, and blue lipstick.",gun_control
1347042301080694789.jpg,The text on the image reads 'coronavirus'.,There are three people in the image.,a group of people sleeping in an auditorium,gun_control
1346928230876520453.jpg,nbc news,There are a large number of people in the image.,"The image features an aerial view of a large crowd of people marching down a street in a city. There is a large number of people present in the image, which may indicate a large event or a political rally. There is also a television screen in the background, which could be a live broadcast or a news program.",gun_control
1370108112909254659.jpg,coronavirus,There are two people in the image.,"The image shows a man wearing an orange face mask as he stands in front of a clock in the lobby of a building. The man is likely wearing the mask to protect his face from the coronavirus, which is currently spreading throughout the United States.",gun_control
1361891447977480196.jpg,derry hamilton,There are no people in the image.,a tweet from derry hamilton saying that his gun has been returned to him,gun_control
1370230168955019266.jpg,u passes house biden's gun control,1,u.s. passes house biden's gun control,gun_control
1323832217018183683.jpg,Congratulations deb haland mexico st congressional district,There are two people in the image.,congratulations deb halland for winning nevada's st congressional district,gun_control
1364368222938689538.jpg,as you know i am a strong supporter of the justice department,There are no people in the image.,"an image of a man with glasses and a quote that says, as you know, i am a strong supporter of the justice department.",gun_control
1352395195493580803.jpg,The text on the image reads:,There are no people in the image.,"The image shows a black handgun sitting on a table next to two bottles of gun cleaning fluid, which can be used to maintain the cleanliness of a firearm. Gun cleaning fluid is an important part of maintaining the cleanliness of a firearm, as it helps to remove gunpowder residues, dirt, and other contaminants that can affect the performance of a firearm.",gun_control
1375129117071306758.jpg,"the constitution shall be construed, not to prevent the people of the united states from",There are no people in the image.,a quote from alexander hamilton,gun_control
1368988431473283072.jpg,Close the loop holes support hr 8 require background check for every sale,There are no people in the image.,close the loop holes support hr 8 require background check for every sale,gun_control
1348102264469082114.jpg,Second est 1791 shall not be infringed,There are no people in the image.,a bill of rights with the words second est 1791 shall not be infringed,gun_control
1363955305982402563.jpg,So you're against the private ownership of guns,There are no people in the image.,so you're against the private ownership of guns? will need to think about it,gun_control
1334144894420611074.jpg,h606 restrictions on firearms and ammunition during emergencies,There are no people in the image.,the florida house of representatives has restrictions on firearms and ammunition during emergencies,gun_control
1370159683521146880.jpg,now the senate must act,There are no people in the image.,the house just passed hr bill to require background checks on all purchases now the senate must act,gun_control
1366992335008010241.jpg,gun control bill from rep sheila jackson lee would create,There are two people in the image.,gun control bill from rep sheila jackson lee,gun_control
1349850481892343808.jpg,nude,There are no people in the image.,The black and white image shows a naked woman posing on a wooden deck.,gun_control
1352032322267320320.jpg,Gun control = racism,There are two people in the image.,"The man in the blue shirt is holding a sign that reads ""Gun Control = Racism"" with the text ""Gun Control = Racist Strategy"".",gun_control
1318954160335847424.jpg,stop ghost guns,There are no people in the image.,The image depicts a message that states that there is no legal way for a person to buy a gun. The message also mentions that one may not legally buy a gun by buying an assassinated 3D printed gun.,gun_control
1313431315178545152.jpg,a man is holding a gun in a gun shop,There are no people in the image.,A man in a white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at a target on the wall behind him.,gun_control
1354796527324114946.jpg,we matter north east,There are no people in the image.,"The image shows a tablet screen with a number of buttons displayed on it. These buttons are likely from a campaign for a specific candidate, such as a politician running for office.",gun_control
1366018563476238342.jpg,22% of Americans report acquiring their most recent gun without a background check,There are no people in the image.,22% of americans report acquiring their most recent gun without a background check,gun_control
1317873577132199937.jpg,"Say no to another nra-backed justice: president, frankfurt, obama",There are three people in the image.,a poster that says say no to another nra backed justice,gun_control
1369289423603572737.jpg,What Does Biden's Gun Control Mean for Owners?,There are two people in the image.,a woman with a gun and a man with a gun in a field with the text what does bieden's gun control mean for gun owners?,gun_control
1320732162702733312.jpg,marshall guns down background checks,There are three people in the image.,marshall guns down background checks,gun_control
1334206930282307592.jpg,2020 election gun violence prevention champions winner mark kelly arizona,There are 2 people in the image.,2020 election gun violence prevention champions winner mark kelly arizona,gun_control
1343967366867275779.jpg,cst chicago the gun do it,There are two people in the image.,a cartoon of a police officer with a gun in his hand,gun_control
1336095106932199425.jpg,chicago is gun free over 5000 shot year already,There are no people in the image.,a sign that says chicago is gun free,gun_control
1364136322185756676.jpg,lynchburg online yard,There are no people in the image.,"a photo of a gun on a couch with a message that reads, ""This is a picture of a gun that was found in the yard of a house in lynchburg, virginia. It's a glock 19 and it's loaded with ammo. It's a real gun. It's not a toy. It's not a toy. It's a real gun. It's not a toy. It's a real gun. It's not a toy. It's a real gun. It's not a toy. It's a real gun. It's not a toy. It's a real gun. It's not a toy. It's a real gun. It's not a toy. It's a real gun. It's not a toy. It's a real gun. It's not a toy. It's a real gun. It's not a toy. It's a real gun.",gun_control
1374462406441635848.jpg,oh more gun violence get more i should guns,There are six people in the image.,a cartoon of a group of people talking about gun violence,gun_control
1367701541793132552.jpg,Rick Ector,There is one person in the image.,rick ector is featured in a black background with a shirt and a dark background.,gun_control
1372193915940401154.jpg,ms democratic,There are two people in the image.,"The image shows a woman sitting at a table with headphones and a laptop in front of her. She is using the laptop to watch a video call on a social media platform. There is also a cup of coffee on the table, suggesting that she is enjoying a beverage while working on her laptop.",gun_control
1320660356621062149.jpg,taylor wilson,There are two people in the image.,a black screen with a message from a twitter account,gun_control
1338743469989388288.jpg,Gunsense pro-rape hate kills,There are no people in the image.,a poster with the words gun sense pro-rape hate kills,gun_control
1369371125583581191.jpg,pass hr 8 now,There are no people in the image.,pass hr 8 now,gun_control
1323975940414865411.jpg,gun sense champion lucy mcbath elected to the u s house,There are two people in the image.,gun sense champion lucy mccarthy has been elected to the u s house,gun_control
1355051117852434432.jpg,everybody knows that the dice loaded with everybody,There are no people in the image.,a black and white quote with the words everybody knows that the dice is loaded with friends canvas print,gun_control
