img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1119280217011433472.jpg,the future is female if we stop worrying about our future females,There are two people in the image.,the future is female if we stop abusing our future females,abortion
1365027633986166788.jpg,The text on image is the spotlight.,There are no people in the image.,Several pages of a newspaper with a picture of a baby in an incubator.,abortion
1045313183131418624.jpg,donald trump,There are two people in the image.,"The image shows two men, one of whom is wearing a suit and the other is wearing a tie. The man in the suit is Donald Trump, while the man in the tie is James Comey, a member of the House Judiciary Committee.",abortion
1233098249801695233.jpg,You are capable,There are two people in the image.,"The image features a woman holding a baby in her arms while walking on a blue background with the text, you are capable.",abortion
1225812725860712448.jpg,walk life nathan sullivan,There is one person in the image.,"The image shows a man speaking into a microphone in front of a sign that reads ""Academison Walk"".",abortion
1352789521734258688.jpg,i love you more than anything in the world,There are no people in the image.,an image of a baby's foot with the words i love you more than anything in the world,abortion
1185684605342486530.jpg,Make abortion legal again,There are ten people in the image.,"The image shows a group of people posing for a photo with a sign that reads ""make abortion legal again"".",abortion
1162109638386626560.jpg,It is not progressive to try to solve problems eliminating a human life,There are two people in the image.,it is not progressive to try to resolve problems by eliminating a human life,abortion
1158719141425111040.jpg,Women don't kill their children to be successful and achieve their dreams,There are two people in the image.,women don't kill their children to be successful and achieve their dreams,abortion
1091008966048575488.jpg,no text,There are no people in the image.,"The image depicts a red drawing with a circle of dots around it. The drawing may be a piece of art, a print, or a collage. It may also be a painting, a collage, or a sculpture.",abortion
1159850444295794688.jpg,abortion is pro life,There is one person in the image.,"a woman is standing in a field of flowers with a black shirt that reads ""abortion is pro life"".",abortion
1027621912955023360.jpg,in the sex of financial advisors,There are two people in the image.,"an image of a woman in a blue shirt with a purple background and a quote that reads, 'in the 50 percent of families that have a parent with Alzheimer's disease, they have a parent with Alzheimer's disease.'",abortion
1031169359488536578.jpg,"female state representatives, u.s.",The image contains a graph that shows the number of female state representatives in the United States.,a graph showing the number of female state representatives in the united states,abortion
1062346209833160704.jpg,killing by mail why we need to make abortion unthinkable,There are no people in the image.,An image of an envelope with the words killing by mail and a microphone on it.,abortion
1285323887316738050.jpg,Georgia Right to Life Political Action Committee,There are two people in the image.,a man in a suit and tie is standing in front of an advertisement for the georgia right to life political action committee,abortion
1200177857869336576.jpg,fetus,There are no people in the image.,"The image depicts a baby fetus in a red-colored womb. The baby's hands are visible in the image, suggesting that it is a fetus in utero. It is possible that the baby is a fetus in utero, which means that it is still developing and growing inside the womb.",abortion
1085636321614409728.jpg,Abortion is freedom,There are no people in the image.,a poster that reads abortion is freedom with a mountain in the background,abortion
1215332530905341952.jpg,These are a mask for abortion,There are no people in the image.,a hand holding a poster that says there is a mask for abortion,abortion
1360696515438776321.jpg,"you're pro birth, not pro life",There are no people in the image.,"a poster that says you're pro birth, not pro life",abortion
1357119690003386377.jpg,rick v wade anniversary,There are two people in the image.,a man wearing a face mask is speaking at a podium in the house of representatives,abortion
1042896281105035264.jpg,Closed,There are no people in the image.,"The image features a closed sign hanging from the window of a building. The sign indicates that the business is closed, which may indicate that the business is no longer in operation.",abortion
1200536212550946819.jpg,nothing,There is one person in the image.,"The image features a woman in a red dress standing in a field with tall grasses and trees. She is holding her hands up to her chest, indicating that she is praying or meditating. The background of the image is dark, suggesting that the woman may be experiencing a moment of reflection or contemplation.",abortion
1235687230502391808.jpg,the fifth amendment and fourth amendment to the united states constitution,There are no people in the image.,a google search for the fifth amendment and the fourth amendment,abortion
1227969942198222849.jpg,Abortion is big business,There are ten people in the image.,"A group of people are standing in front of a billboard that reads, ""Abortion is Big Business"".",abortion
1280188568464502784.jpg,The text on the image reads:,There are several people in the image.,Several people are standing on the side of the road with signs in front of a large building.,abortion
1360333126858334214.jpg,pushing chemical abortion helps abortionists by,There are four people in the image.,a poster that says pushing chemical abortion helps abortionists by reducing costs,abortion
1171903771246518273.jpg,"for ecosocialism, feminism and worker power",There are several people in the image.,"The image depicts a group of people sitting under a red tent in a public area. There are several people sitting under the tent, including a woman wearing a red shirt and a man wearing a blue shirt. There is also a table with a sign that reads ""For Ecosocialism, Feminism & Worker Power"".",abortion
1092265322575548418.jpg,la devolución progresista,There are no people in the image.,a photo of the new york city skyline in spanish,abortion
1185926496415834114.jpg,Support Choices for Women,There are no people in the image.,a chart showing support choices for women,abortion
1365352194178957321.jpg,Over 80% of women choose life after ultrasound viewing,There are no people in the image.,over 80% of women choose life after ultrasound at alpha clinic,abortion
1243946039570202624.jpg,untrue,There is one person in the image.,a poster with an image of ruth ginsburg and the words untrue,abortion
1208070158461362177.jpg,life,There are several people in the image.,"The image depicts a woman with a sign taped to her mouth that reads ""life"" or ""death"". The girl is wearing a scarf and is holding a placard in front of her face. The placard may be related to a protest, a demonstration, or a political issue.",abortion
1229429371578048513.jpg,Little Human Person,There are no people in the image.,a baby sleeping in a purple hat with the text little human person,abortion
1216385788000137216.jpg,Was it worth it mommy?,There are two people in the image.,a cartoon of a woman holding a microphone and saying was it worth it mommy,abortion
1367212713240391683.jpg,the disease breaking pittsburgh using catholics to avoid johnson and johnson,There are no people in the image.,a tweet about the disease breaking pittsburgh using the catholics to avoid johnson,abortion
1171420651909001216.jpg,how the freedom divides benefits women,There are no people in the image.,a poster showing the benefits of freedom for women,abortion
1020292492183384065.jpg,multiple studies impact of chemical abortions on women have been harmful,There are several people in the image.,multiple studies on the impact of chemical abortions on women,abortion
1120110594730930176.jpg,arrow smith,There are no people in the image.,arrow smith's facebook post about abortion,abortion
1257508753542393856.jpg,Signs of Pregnancy,There are no people in the image.,"An image of a person holding a pregnancy test with the words ""Signs of Pregnancy"" written on it.",abortion
1109023605667651584.jpg,choice people are not trying to stop abortion have no abortion,There are two people in the image.,a woman is talking to a man about abortion,abortion
1174231712743809024.jpg,poland,There are a large number of people in the image.,"The image shows a large crowd of people walking down a street with a large number of balloons, flags, and signs. There is also a truck in the background, which may be related to the protest.",abortion
1308667812572024833.jpg,supreme court,There are no people in the image.,"The image features a large, white supreme court building with a large number of columns and statues standing in front of it. There is a clear blue sky in the background, suggesting that the building is located somewhere in the United States.",abortion
1116697315237036033.jpg,Before abortion was legal and safe illegal abortions caused at least in 6 pregnancy related deaths,There are no people in the image.,"a yellow background with the text: before abortion was legal and safe, illegal abortions caused at least in 6 pregnancy related deaths",abortion
1184249544168468480.jpg,Don't depart my friends,There are several people in the image.,"The image features a group of people standing in front of a large screen with a message displayed on it: ""Don't depart from my friends."" The message is likely related to a school event, possibly a graduation ceremony or a similar event. There are several people in the image, including a girl and a boy, as well as a man and a woman. There is also a sign that reads, ""Don't depart from my friends.""",abortion
1353002531383873538.jpg,Statement from President Biden and Vice President Harris on the 60th Anniversary of Roe Wade,1,a statement from president roosevelt and vice president harris on the 80th anniversary of roosevelt,abortion
1299908001457790978.jpg,love them both,There are a large number of people in the image.,a crowd of people holding signs at a protest,abortion
1266788984799330304.jpg,second and third trimester abortion by induction,There are two people in the image.,A woman is holding a hand with the words second and third trimester abortion by induction written on it.,abortion
1176569126807982080.jpg,nothing,There are no people in the image.,"The image shows a person laying on a mattress in a dirty room with graffiti on the walls. There is also a small child sleeping on top of the mattress, which may indicate that the person is homeless or in need of shelter.",abortion
1358900673060995072.jpg,large crowd of people,There are a large number of people in the image.,"The image depicts a large group of toy figurines in various colors and sizes, forming a large crowd. This image could be used as a promotional tool for a product or service, or as a visual representation of a large group of people.",abortion
1359593993688989696.jpg,nuclear power plant,There are no people in the image.,"The image depicts a field of yellow barrels with radioactive signs in the background. These barrels are placed in front of two power plant chimneys, which are visible in the distance. The yellow barrels may be used to store hazardous materials, such as nuclear waste or radioactive waste, at a nuclear power plant.",abortion
1364215058239131656.jpg,,There are no people in the image.,a newspaper with an article in hindi written on it,abortion
1174098959104561155.jpg,2441 Women and Men Received Abortion Recovery Help at Pregnancy Centers in 2017,There are 241 women and men in the image.,2441 women and men received abortion recovery help at pregnancy centers in 2017,abortion
1057655766541316096.jpg,the research here clear restricting abortion access doesn't just harm women it harms children as well,There are two people in the image.,the research here is clear restricting abortion access doesn't just harm women it harms children,abortion
1123551135640489984.jpg,brian pop life alabama,There are four people in the image.,"The image depicts a group of people holding a banner in a restaurant. They are holding a sign that reads, ""Britney Comes to Life America"". There are several tables and chairs in the restaurant, and there is a sign on one of the tables that reads, ""Britney Comes to Life America"".",abortion
1087778926343135235.jpg,god bless all things,There are two people in the image.,a photo of a person holding a hand with a quote on it,abortion
1280231378337042436.jpg,sacramento california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california califor,There are several people in the image.,"The image features a street corner with a sign advertising a seafood restaurant. There are several cars parked on the side of the road, as well as a group of people standing on the sidewalk near the sign. There is also a traffic light at the corner, which indicates that there is a traffic signal in place.",abortion
1240304713670803459.jpg,nothing,There are two people in the image.,The image shows a man covering his face with his hands while holding a laptop on a table. The man is likely using the laptop for work or entertainment purposes.,abortion
1082706933340090368.jpg,"Respect our decisions, uphold women's health cover abortion",There are several people in the image.,"a group of women posing in front of a poster that says respect our decisions, uphold women's cover abortion",abortion
1363951398031945731.jpg,nothing,There are many people in the image.,"The image depicts a room with a large number of people sitting at desks in a courtroom or assembly hall. There are several people wearing suits and ties, which suggests that they are attending a meeting or a legislative session. There is also a person sitting at the front of the room, which indicates that he or she may be a member of the public or a member of the government. There is also a person sitting at the back of the room, which indicates that he or she may be a member of the public or a member of the government. There is also a person sitting at the front of the room, which indicates that he or she may be a member of the public or a member of the government. There is also a person sitting at the back of the room, which indicates that he or she may be a member of the public or a member of the government.",abortion
1189327981988188161.jpg,i have met other survivors of abortion they are all thankful for life,There are no people in the image.,a hand holding a sign that says i have met other survivors of abortion they are all thankful for life,abortion
1354925419133333514.jpg,"The text on the image reads, ""Follow me"" and features a man with a face mask in front of an American flag.",There are two people in the image.,"The image shows a man with a face mask in front of an American flag. The man is making a hand gesture in front of the flag, while the older man is standing behind him.",abortion
1080024105926066177.jpg,hudson death in 2018,There are no people in the image.,a screenshot of a facebook page with a message about abortion leading cause of death in 2018,abortion
1365374047295582214.jpg,"choosing life for gave son, responsibility and purpose more than just myself",There are two people in the image.,a pregnant woman with the quote choosing life for my son gave him responsibility and purpose more than just myself,abortion
1100166844026109953.jpg,Keep abortion legal and safe,There are no people in the image.,a red and white round sticker that says keep abortion legal and safe.,abortion
1266103223259185152.jpg,Misoprostol abortion pill,There are no people in the image.,Two misoprostol pills with the words misoprostol abortion pill on them.,abortion
1198299728796098560.jpg,National Adoption Day,There are two people in the image.,an ad for national adoption day with a woman holding a child in the air,abortion
1241019221066334208.jpg,"Abortion stops a beating heart, destroys a life, and ends a generation",There are two people in the image.,"abortion stops a beating heart, destroys life, and ends a generation",abortion
1366795149683040261.jpg,Revival San Francisco,There are two people in the image.,a poster for revival san francisco,abortion
1076505474516738048.jpg,abortion is not a bad word,There are two people in the image.,a woman holding a sign that says abortion is not a bad word,abortion
1181222074087436288.jpg,the post abortion woman who fights for abortion rights is like the victim shows loyalty to her abuser,There are no people in the image.,the post abortion woman who fights for abortion rights like the victim shows loyalty to her,abortion
1266052597976186881.jpg,Abortion pill mifepristone,There are no people in the image.,a group of pills with the text abortion pill mifepristone,abortion
1185005367157280768.jpg,The text on the image reads 'new bird of paradise'.,There are two people in the image.,"The image shows a large screen with a sign that reads, ""Birds of a Feather"" or ""Birds of a Feather"". There is also a woman standing in front of the screen, holding a microphone.",abortion
1116313949748760576.jpg,if you have taken the abortion pill may not be hope,There are 2 people in the image.,an advertisement for abortion pill reversal,abortion
1306387394548170754.jpg,"It's simple, abortion is wrong",There are no people in the image.,a baby is sitting on a bed with a toy in his mouth and an icc logo on the wall behind him.,abortion
1236410105408692224.jpg,raccoon,There are no people in the image.,a black and white photo of a baby lying on a bed with a stuffed animal,abortion
1025791070066692096.jpg,Love them both abortion kills one hurts another,There are two people in the image.,a woman holding a baby with the text love them both abortion kills one hurts another,abortion
1184808613312958465.jpg,medana bryan tweet on babe,There are four people in the image.,a woman is tweeting about abortions,abortion
1174235971455455233.jpg,cae aborton 4,There are a total of 12 people in the image.,"The image features a group of people holding signs that read ""Cafe Abortum"" or ""Cafe 4 Abortum"". They are holding the signs in front of a stone walkway, which may indicate that they are participating in a campaign or event.",abortion
1359143482695299072.jpg,english karen mcree dr,There are two people in the image.,"an image of a woman speaking at a podium in front of a screen that reads, 'dr. karen mcree, dr. dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen mcree, dr. karen",abortion
1067463197760745472.jpg,how many houses do you live in,There are no people in the image.,a child's writing on a piece of paper,abortion
1151273204926881795.jpg,Pray to end abortion,There are two people in the image.,"A person is holding a rosary and a sign that reads ""Pray to End Abortion"".",abortion
1115283784843366402.jpg,swollen glands,There are two people in the image.,A pregnant woman is sitting on a couch with her hand on her head. She is holding her head in pain due to pregnancy.,abortion
1247670628309553153.jpg,jeep washington's speed center,There are no people in the image.,"The image shows a black jeep parked in front of a building with a blue awning. It is likely that the building is part of a sports facility, such as a track or a stadium.",abortion
1068585957660680192.jpg,10 Things You Can Do To Make Your Life More Fun And Intuitive,There are no people in the image.,The image features a young boy holding his hands up in front of a poster that reads 10 Things You Can Do to Help Prevent Child Abuse and Neglect. The poster includes a list of things you can do to help prevent child abuse and neglect.,abortion
1352645064175058944.jpg,i'm proud to be pro-life,There are no people in the image.,a poster that says i'm proud to be pro-life,abortion
1359119281338920970.jpg,pro-life sounds better than women should be in factories christianity kills them,There are no people in the image.,a pope with a quote that says pro-life sounds better than women should be pregnant by christianity,abortion
1041895328788574208.jpg,Abortion does not terminate a pregnancy,There are four people in the image.,abortion does not terminate a pregnancy abortion terminates a child,abortion
1155481937445867521.jpg,Abortion? Not in our name,There are two people in the image.,"Two young women are holding a sign that reads, ""Abortion? Not in Our Name"".",abortion
1249832098359324673.jpg,the world and the church the world you want to lukewarm abortion about don't,There are no people in the image.,the world and the church want lukewarm about abortion,abortion
1288132341378973696.jpg,cdc Centers for Disease Control and Prevention,There are no people in the image.,the logo for the centers for disease control and prevention,abortion
1027323755733762048.jpg,ftp,There are no people in the image.,Several lines of handwriting are visible on a page of a book with a question mark in the middle of the page.,abortion
1022571019423416320.jpg,two babies,There are two people in the image.,Two baby girls are sitting on a pink chair and smiling. They are wearing pink minnie mouse outfits and are smiling at the camera.,abortion
1238904014810603523.jpg,There is not a more urgent social issue than the killing of innocent children,There are no people in the image.,there is not a more socially urgent social abortion than the killing of innocent children,abortion
1249725517575700481.jpg,man in suit and tie,There is one person in the image.,The image shows a man in a suit and tie standing outside of a building. He is wearing a blue shirt and a blue tie.,abortion
1144286848942059520.jpg,reproductive justice becomes injustice when the human in the womb becomes a murder victim,There are no people in the image.,a fist with the words reproductive justice becomes injustice when the human in the womb becomes a murder victim,abortion
1235231783320506371.jpg,i'm one of the 71% of americans who believe abortion should be safe and legal,There are no people in the image.,i'm one of the 77% of americans who believe abortion should be safe and legal,abortion
1099875580684718081.jpg,fetus,There are no people in the image.,an image of a fetus with smoke coming out of it,abortion
1166499165322432512.jpg,a sculpture of a woman holding a child,There are two people in the image.,A sculpture of a woman and a child is displayed in a room.,abortion
1212396191020978184.jpg,"The text on the image reads ""Planned Parenthood Care, No Matter What"".",There are no people in the image.,a sign that reads planned parenthood with a cross in the middle,abortion
1266369045445500933.jpg,Grief comes in many forms but healing and closure is available to all,There are no people in the image.,"A candle is lit in a dark room with a quote that reads, ""grief comes in many forms, but healing, peace, and closure are available to all.""",abortion
1063188695245762560.jpg,aclj,There are no people in the image.,the aclj logo on a white background,abortion
1227734057393491980.jpg,keep your filthy laws off my silky drawers,There are no people in the image.,a drawing of a woman's underwear with the words keep your filthy laws off my silky drawers,abortion
1076144535632338945.jpg,nothing,There are no people in the image.,"The image features a large, white building with a steeple and a clock tower in the middle of a city square. There are several trees surrounding the building, which adds to the overall visual appeal of the scene.",abortion
1270242340204994565.jpg,new zealand clears its last covid-19 case,There are two people in the image.,new zealand clears its last covid-19 case,abortion
1133400100171112449.jpg,I don't want a body for my choice,There are several people in the image.,"The image depicts a group of people holding up signs in a building with a ceiling decorated with ornate details. The protesters are holding up signs that read, ""Body for my choice"" or ""Body for my choice."" The protesters may be protesting a specific issue, such as reproductive rights or the right to choose one's own body.",abortion
1230907873401675787.jpg,Life is a human right,There are two people in the image.,An image of a pregnant woman holding an ultrasound in her hands with the text life is a human right.,abortion
1025304557281312768.jpg,group of people posing for a photo,There are ten people in the image.,a group of young people in blue shirts posing for a photo under a tent,abortion
1074016436606033920.jpg,girl standing in grass,There is one person in the image.,a young girl is standing in the grass wearing jeans and a blue shirt,abortion
1214458343760289792.jpg,The text on the image reads fuck your abortion ban.,There are several people in the image.,a woman holding up a sign that says fuck your abortion ban,abortion
1270130240526921731.jpg,woman sitting on floor with laptop and books,There is one person in the image.,"The image shows a woman sitting on the floor with a laptop in front of a brick wall. She is using the laptop to browse through books and magazines, as well as a cup of coffee.",abortion
1093308636053553153.jpg,young girl reading a book in the grass,There is one person in the image.,A young girl is laying on the grass and reading a book.,abortion
1288569531229769732.jpg,"The text on the image reads ""toyota tundra""",There are no people in the image.,"The image shows a white pickup truck parked in front of a house. The truck has a black cover on the back, which can be used to protect the truck from rain or snow. There is also a garage behind the house, which could be used to store the truck.",abortion
1078408747737853953.jpg,another immigrant child dies in u s custody,There are no people in the image.,another immigrant child dies in us custody screenshot,abortion
1156645966344310788.jpg,adoption was such a positive alternative to abortion,There are 2 people in the image.,a quote from george w bush about adoption,abortion
1100840703595171840.jpg,Want More Information About Abortion Care on Campuses,There are two people in the image.,want more information about abortion care on campuses? naa pro california,abortion
1237936411212382213.jpg,the text on the image reads 'darkness',There are no people in the image.,"Several candles are placed around a skull on a dark wooden table. The skull is surrounded by candles, symbolizing the importance of spirituality and the belief in the afterlife.",abortion
1097942515938979840.jpg,"The text on the image reads, 'Albert Machenwald'.",There are three people in the image.,a group of people walking down a street with a gate in the background,abortion
1278855985763954691.jpg,minnesota,There are no people in the image.,"The flag of the state of Minnesota is displayed on a blue background. It features the state's coat of arms, as well as an image of the state's capitol building.",abortion
1161629336090398720.jpg,"Self Managed Abortion, Safe and Supported Contact Us",There are two people in the image.,"The image shows a woman using a laptop with the text, self-managed abortion, safe and supported.",abortion
1283203628560338949.jpg,mother teresa,There are three people in the image.,"The image depicts a black and white photo of a nun holding a baby in her arms. The image is part of a collection of similar images from the 1940s and 1950s, and shows a woman wearing a long-sleeved dress and a hat. The woman is holding a small child in her arms, while a man is standing behind her. The man may be a performer or a musician, and the woman may be a religious leader or spiritual figure.",abortion
1163091038891905025.jpg,you're not life you're fetus save the women and the family of cells before adoption always an option saving,There are two people in the image.,a text that says you're not life you're fetus save the women and save a family of cells,abortion
1200447549133524993.jpg,shell leger,There are no people in the image.,an advertisement for a shell oil company,abortion
1175600390668214272.jpg,what are human rights?,There are no people in the image.,what are human rights?,abortion
1274368580797202437.jpg,i create life in the womb i womb and humanity made itself,There are no people in the image.,"an image of an ultrasound with the words, i create life in the mouth, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the hand, i create life in the",abortion
1027187919516299264.jpg,Est el momento mundo est observar,There are two people in the image.,a woman with blue hair is holding a sign that says est el momento mundo est abortolegalay,abortion
1209132536011644928.jpg,because you haven't been reading,There are no people in the image.,"Several pages of a book are open in front of a stone wall. The book is open to a specific chapter, which could be a chapter on the history of a particular country or region.",abortion
1103187294821990400.jpg,rio,There are two people in the image.,a young woman with afro hair is smiling while sitting on a balcony overlooking the city of Rio de Janeiro,abortion
1045342793240064000.jpg,image of a pregnant woman holding a photo,There are two people in the image.,a black and white photo of a pregnant woman holding an ultrasound image,abortion
1225842995548827650.jpg,"Almost 20,000 family-planning facilities are located in metropolitan areas",There are no people in the image.,"The image is of a baby with a smile on his face. The text on the image reads, ""almost 200,000 children are cared for in family-planning facilities in communities across the country.""",abortion
1229624984424898561.jpg,donald trump,There are no people in the image.,"The image depicts a man in a suit and tie pointing his finger at the camera while speaking into a microphone. He is making a gesture to indicate that he is giving a speech or making a statement. The image may be taken from a television broadcast, a newspaper, or a magazine. It may also be a promotional image for a product or service.",abortion
1213722289675669504.jpg,trump justice kennedy has confidence,There are no people in the image.,a screenshot of a news story about trump justice kennedy has passed arkansas law allowing surgical abortion,abortion
1270139438585253889.jpg,satanists really do exist and they have gained power,There are two people in the image.,satanists really do exist and they have gained power,abortion
1048142838360363008.jpg,"Man who roundhouse kicked pro-life woman, identified, gets fired",There are no people in the image.,"man who roundhouse kicked pro-life woman, identified, gets fired",abortion
1352703190307926018.jpg,ultrasound,There are two people in the image.,"The image features a black and white ultrasound image of a pregnant woman with a baby in her belly. The image is likely taken during an ultrasound scan, which can provide important information about the health of a pregnant woman.",abortion
1280547138607501318.jpg,number one killer in the black community is not,There are many people in the image.,a poster that says number one killer in the city,abortion
1072551750366883840.jpg,right to life northeast ohio,There are two people in the image.,a poster with the text right to life north east ohio and a picture of a baby,abortion
1149634841001906177.jpg,ultrasound,There are two people in the image.,"The image shows an ultrasound image of a baby in the womb. The image may be taken during pregnancy or shortly after delivery, depending on the patient's condition.",abortion
1103166570694610946.jpg,nothing,There are a large number of people in the image.,"The image depicts a large group of people sitting at a table in a conference room. There are several microphones on the table, which indicates that there is a microphone available for use by the attendees. There is also a television screen visible in the background, which could be used to provide information about the proceedings.",abortion
1298412360349122566.jpg,state action to suspend abortion during covid-19,There are 20 people in the image.,a map showing state action to suspend abortion during covid-19,abortion
1241036825759752192.jpg,"Abortion stops a beating heart, destroys a life and ends a generation",There are two people in the image.,"abortion stops a beating heart, destroys life, and destroys a generation",abortion
1158376303231287296.jpg,"The text on the image reads, ""Your right to life policies will be the death of us.""",There are two people in the image.,a woman holding up a sign that says your right to life policies will be the death of us,abortion
1135345278255489024.jpg,Planned Parenthood This more innocent human lives that end,There are no people in the image.,a poster with guns and the words planned parenthood,abortion
1069931963857993728.jpg,st john's school of nursing,There are two people in the image.,"The image shows a young man and woman standing next to a table with a variety of informational materials displayed on it. There is also a sign that indicates the purpose of the table, which may be related to a health-related event or campaign.",abortion
1156511676654587904.jpg,"How to Report on Abortion: A Guide for Journalists, Editors and Media",There are two people in the image.,"how to report on abortion: a guide for journalists, editors and media",abortion
1183891722121687040.jpg,Planned Parenthood 2017,There are two people in the image.,a graphic showing the number of planned parenthood in 2017,abortion
1195407658670526470.jpg,an empty room with a police officer in it,There are two people in the image.,a police officer is standing in a room with a medical device,abortion
1211608474116857856.jpg,they spend millions of dollars looking for life on earth,There are no people in the image.,they spend millions of dollars looking for life on other planets,abortion
1273055260102270978.jpg,why serve,There are no people in the image.,"The image depicts a truck with a message that reads, ""I believe that the death of a baby destroys the life and emotional trauma of the baby's parents."" The truck is part of the IC Mobile, a service that provides support to families affected by abortion. The message on the truck reads, ""I believe that the death of a baby destroys the life and emotional trauma of the baby's parents."" The truck is part of the IC Mobile, a service that provides support to families affected by abortion. The message on the truck reads, ""I believe that the death of a baby destroys the life and emotional trauma of the baby's parents."" The truck is part of the IC Mobile, a service that provides support to families affected by abortion. The message on the truck reads, ""I believe that the death of a baby destroys the life and emotional trauma of the baby's parents."" The truck is part of the IC Mobile, a service that provides support to families affected by abortion. The message on the truck reads, ""I believe that the death of a baby destroys the life and emotional trauma of the baby's parents.""",abortion
1116027246387421184.jpg,,There are no people in the image.,a quote in hindi on a blue background,abortion
1201545386302824455.jpg,Human life is worth protecting,There are no people in the image.,a poster that says human life is worth protecting,abortion
1179201990901022722.jpg,when a woman chooses life she gives herself a future mourning a lost experience that shields her,There are two people in the image.,a woman with a cell phone,abortion
1173343566560681985.jpg,we pledge to abortion unnecessarily in our lifetime mp sam costello,There are several people in the image.,a man in a suit is being interviewed on twitter,abortion
1364269452099948550.jpg,stages of fetal development,There are no people in the image.,Several stages of fetal development are depicted in the image. These stages can be used as a guide to help pregnant women understand the different stages of fetal development.,abortion
1356554150050471936.jpg,onsite turn your medical waste into trash,There are no people in the image.,a screen shot of a website with an image of a medical waste disposal machine,abortion
1241921989155205123.jpg,"The text on the image reads ""text profile o 313131"".",There is one person in the image.,"The image shows a medical professional holding a pair of tweezers and a pair of blue gloves. The medical professional is holding the tweezers in front of his or her face, indicating that he or she is holding the tweezers for a medical procedure.",abortion
1359532007982776325.jpg,Share the Love Share the Love Shop for your Valentine Giving Smiles Generate Donations,There are two people in the image.,an amazon valentine's day ad with the words share the love shop for your valentine giving amazon general donations,abortion
1153250629927821313.jpg,If abortion is murder masturbation is a genocide,There are no people in the image.,if abortion is murder masturbation is a genocide,abortion
1308794575700590593.jpg,multiple studies impact of chemical abortions on women have proven harmful,There are several people in the image.,multiple studies the impact of chemical abortions on women have proven risk,abortion
1359126957762310144.jpg,necollation file wordpress com,There are no people in the image.,a screenshot of an email on a phone,abortion
1174461268574519296.jpg,more than fetal remains found at ata abortion home,There are two people in the image.,"a television screen with two people on it, one of them is wearing a suit and the other is wearing a tie",abortion
1098001786676236289.jpg,the clock is ticking,There are no people in the image.,a cartoon of a clock with the words the clock is ticking,abortion
1247993887718649856.jpg,"if you want an abortion, keep your seed in your own",There are no people in the image.,"a text that says if you want an abortion, you can keep your seed in your own damn bodies",abortion
1352841030362669056.jpg,abortion cannot be made safe,There are several people in the image.,"The girl in the yellow hat is holding a sign that reads, ""Abortion cannot be made safe."" She is standing in front of a crowd of people who are protesting against abortion.",abortion
1043095611564646401.jpg,giant inflatable baby abducted,There are no people in the image.,an image of a giant inflatable baby with the text giant inflatable baby abducted,abortion
1230540412449939458.jpg,for there are really 1000 mothers and babies who can tell you otherwise,There are two people in the image.,"a woman holding a baby with the text, there are over 1 million mothers and babies who can tell you otherwise",abortion
1177293419829432320.jpg,naral,There are four people in the image.,"The image shows a group of people sitting in front of a purple stage at a narl event. There is a woman sitting on a chair and a man sitting on a chair next to her. They are both speaking on the stage, which is decorated with a statue of the Statue of Liberty.",abortion
1194970305363623937.jpg,i've noticed that everyone who is for abortion has already been born,There are two people in the image.,a quote from ronald reagan,abortion
1073216893970862080.jpg,nothing,There are no people in the image.,"The image shows a house under construction, with a car parked in front of the house. The car is likely to be used for transportation during the construction process, which could be a sign that the house is nearing completion.",abortion
1201916210541219847.jpg,medication abortion - dispelling the myths,There are no people in the image.,a poster about medication abortion dispelling the myths,abortion
1158522840678690816.jpg,precious every stage,There are a large number of people in the image.,"The image shows a group of people holding signs in support of women's rights. They are holding signs that read ""Precious Every Stage"" or ""Feminist Every Stage"".",abortion
1362030682051145755.jpg,nothing,There is one person in the image.,"The image features an anime girl with pink hair and purple eyes. She is holding her finger to her lips, indicating that she is contemplating something important.",abortion
1166083978262130688.jpg,if it is not a baby you can't be pregnant,There are no people in the image.,a sign that reads if it is not a baby you can't be end abortion,abortion
1277698671744712705.jpg,nothing,There are two people in the image.,"The image depicts a man sitting in a chair and having his foot examined by a doctor. The doctor is using a magnifying glass to examine the patient's foot, which could be a part of a medical procedure, such as an X-ray or a CT scan.",abortion
1267742256582320130.jpg,yesterday adr shot pregnant black protester in belly causing miscarriage,There are no people in the image.,a tweet about the shooting of a pregnant black protester in her belly causing a miscarriage,abortion
